"XMean" "XStdDev" "YActivity"
"1" -0.586932495926453+0i 0.53293889474142 "STANDING"
"2" -0.629197697018004+0i 0.538233757550701 "STANDING"
"3" -0.6475958281041+0i 0.52807257583942 "STANDING"
"4" -0.643015575616221+0i 0.535905467723836 "STANDING"
"5" -0.648009318608841+0i 0.527689909723879 "STANDING"
"6" -0.650451053513012+0i 0.524667333968142 "STANDING"
"7" -0.648862800940428+0i 0.528827387211795 "STANDING"
"8" -0.655605235103209+0i 0.531869139624043 "STANDING"
"9" -0.652024332695205+0i 0.535373828537912 "STANDING"
"10" -0.657305261082442+0i 0.535330507896622 "STANDING"
"11" -0.65307116455672+0i 0.53671554885613 "STANDING"
"12" -0.651335155032086+0i 0.54419059449776 "STANDING"
"13" -0.651480413494296+0i 0.543520414808611 "STANDING"
"14" -0.648669588258467+0i 0.540623628091214 "STANDING"
"15" -0.64634910884385+0i 0.53431255374798 "STANDING"
"16" -0.634700738685865+0i 0.537956410979442 "STANDING"
"17" -0.611516924924973+0i 0.546723944478437 "STANDING"
"18" -0.620011145070232+0i 0.56158612479273 "STANDING"
"19" -0.638410305541711+0i 0.539049531441498 "STANDING"
"20" -0.619249248691622+0i 0.532929278960597 "STANDING"
"21" -0.615579331569305+0i 0.529550158265891 "STANDING"
"22" -0.581886054376096+0i 0.551531921265281 "STANDING"
"23" -0.568091670144795+0i 0.53864018644319 "STANDING"
"24" -0.586156957238146+0i 0.527427633017235 "STANDING"
"25" -0.643382584084438+0i 0.525954302132557 "STANDING"
"26" -0.644557990313207+0i 0.523695900772226 "STANDING"
"27" -0.641121916938681+0i 0.53382327295884 "STANDING"
"28" -0.64727964577754+0i 0.529376221067124 "STANDING"
"29" -0.641134163980125+0i 0.538383998264804 "STANDING"
"30" -0.633364425841355+0i 0.550931914896748 "STANDING"
"31" -0.629012412452496+0i 0.553122673039105 "STANDING"
"32" -0.622489146944866+0i 0.542549805763785 "SITTING"
"33" -0.641858857304456+0i 0.543132334381002 "SITTING"
"34" -0.658640762933868+0i 0.540277334148799 "SITTING"
"35" -0.64663438708162+0i 0.538621161235226 "SITTING"
"36" -0.641389036107451+0i 0.535708422526497 "SITTING"
"37" -0.651724136123708+0i 0.530160806106719 "SITTING"
"38" -0.654849524784688+0i 0.525437086347547 "SITTING"
"39" -0.658798784888235+0i 0.52698811819244 "SITTING"
"40" -0.653363436894599+0i 0.532574720946046 "SITTING"
"41" -0.657636828527825+0i 0.530131650154813 "SITTING"
"42" -0.65896353377647+0i 0.528392082917717 "SITTING"
"43" -0.651820367362567+0i 0.526515656349735 "SITTING"
"44" -0.646368067761283+0i 0.530819544493785 "SITTING"
"45" -0.597704274059893+0i 0.547711326743218 "SITTING"
"46" -0.621790257446346+0i 0.548914729253936 "SITTING"
"47" -0.642172657245098+0i 0.54664969609145 "SITTING"
"48" -0.640737606262816+0i 0.547144220568454 "SITTING"
"49" -0.643771978710695+0i 0.52161805266766 "SITTING"
"50" -0.646342278066667+0i 0.513931129602924 "SITTING"
"51" -0.647894636344742+0i 0.528261033728331 "SITTING"
"52" -0.644916646416756+0i 0.533383645949602 "SITTING"
"53" -0.654462160121747+0i 0.530182530370835 "SITTING"
"54" -0.653917488950071+0i 0.534223659905169 "SITTING"
"55" -0.655529306472906+0i 0.529203472697775 "SITTING"
"56" -0.613808150831729+0i 0.52663698368415 "LAYING"
"57" -0.645100826232086+0i 0.530190434269177 "LAYING"
"58" -0.638348250806239+0i 0.549193745547173 "LAYING"
"59" -0.649692916435027+0i 0.549756427919445 "LAYING"
"60" -0.652107823964884+0i 0.55175307443228 "LAYING"
"61" -0.642963360033333+0i 0.56484428355578 "LAYING"
"62" -0.650231338363815+0i 0.557683555891277 "LAYING"
"63" -0.649611166359893+0i 0.547848472823504 "LAYING"
"64" -0.637158009775401+0i 0.560469093058613 "LAYING"
"65" -0.642293676638324+0i 0.556352204651775 "LAYING"
"66" -0.637975810214617+0i 0.551357644885747 "LAYING"
"67" -0.596226802019857+0i 0.555946550136123 "LAYING"
"68" -0.614178756006774+0i 0.554448883380187 "LAYING"
"69" -0.637408458349198+0i 0.539582326606149 "LAYING"
"70" -0.635805538511765+0i 0.547547113104558 "LAYING"
"71" -0.648970729862745+0i 0.531344767462413 "LAYING"
"72" -0.650467939568877+0i 0.529668091176669 "LAYING"
"73" -0.654755289992567+0i 0.528705728281038 "LAYING"
"74" -0.642498043749733+0i 0.544684164083857 "LAYING"
"75" -0.634868426386631+0i 0.550973928489729 "LAYING"
"76" -0.652588191281034+0i 0.530134962593079 "LAYING"
"77" -0.654262141769697+0i 0.529377886179116 "LAYING"
"78" -0.641470623881283+0i 0.543887752729491 "LAYING"
"79" -0.647650461006417+0i 0.537637861309016 "LAYING"
"80" -0.421519530120392+0i 0.475251798602011 "WALKING"
"81" -0.396796833196435+0i 0.470615272361189 "WALKING"
"82" -0.394577513342068+0i 0.477855205193839 "WALKING"
"83" -0.403695620754242+0i 0.474810140195631 "WALKING"
"84" -0.431695709318717+0i 0.473598928100405 "WALKING"
"85" -0.426233989561373+0i 0.473598747404276 "WALKING"
"86" -0.412962779907237+0i 0.473300456956996 "WALKING"
"87" -0.417761880153654+0i 0.474597781252878 "WALKING"
"88" -0.408673876952549+0i 0.473380117133183 "WALKING"
"89" -0.409657659676114+0i 0.477213327589243 "WALKING"
"90" -0.409055405363512+0i 0.474478745981529 "WALKING"
"91" -0.380767194617344+0i 0.466779800575331 "WALKING"
"92" -0.377140510593226+0i 0.459787438526841 "WALKING"
"93" -0.408455143196613+0i 0.46380967031905 "WALKING"
"94" -0.423988485810766+0i 0.477239580191856 "WALKING"
"95" -0.433264223588948+0i 0.471144940080989 "WALKING"
"96" -0.405359700192335+0i 0.47413367365334 "WALKING"
"97" -0.39318160581385+0i 0.475967688501021 "WALKING"
"98" -0.421248535558824+0i 0.469858111020695 "WALKING"
"99" -0.421018363267326+0i 0.468105463211542 "WALKING"
"100" -0.409370695273262+0i 0.471624934283174 "WALKING"
"101" -0.408708163231016+0i 0.477550501734614 "WALKING"
"102" -0.405726452411408+0i 0.472749679714542 "WALKING"
"103" -0.413656147695544+0i 0.470480346071429 "WALKING"
"104" -0.397752510916221+0i 0.467255864909223 "WALKING"
"105" -0.410358778593583+0i 0.469908976199552 "WALKING"
"106" -0.414124949136399+0i 0.471205876131155 "WALKING"
"107" -0.392573512978788+0i 0.468302077340092 "WALKING"
"108" -0.387411063519857+0i 0.466124314955884 "WALKING"
"109" -0.410193764785383+0i 0.469506941249944 "WALKING"
"110" -0.36954498266934+0i 0.47056446632582 "WALKING_DOWNSTAIRS"
"111" -0.3701232813959+0i 0.479971675389485 "WALKING_DOWNSTAIRS"
"112" -0.337744000577415+0i 0.465518064172627 "WALKING_DOWNSTAIRS"
"113" -0.353753808013369+0i 0.470012558274126 "WALKING_DOWNSTAIRS"
"114" -0.371515778456061+0i 0.470762605965692 "WALKING_DOWNSTAIRS"
"115" -0.313992472729073+0i 0.465217573365039 "WALKING_DOWNSTAIRS"
"116" -0.300164405056506+0i 0.458924303101134 "WALKING_DOWNSTAIRS"
"117" -0.312079555819073+0i 0.460687976494061 "WALKING_DOWNSTAIRS"
"118" -0.317616203656881+0i 0.466760530616439 "WALKING_DOWNSTAIRS"
"119" -0.355340426448841+0i 0.468724206710667 "WALKING_DOWNSTAIRS"
"120" -0.324216501636364+0i 0.465969162659542 "WALKING_DOWNSTAIRS"
"121" -0.247877147209091+0i 0.462808525373222 "WALKING_DOWNSTAIRS"
"122" -0.259231771685561+0i 0.459748970074491 "WALKING_DOWNSTAIRS"
"123" -0.288588663654902+0i 0.463811624458577 "WALKING_DOWNSTAIRS"
"124" -0.285303712063458+0i 0.460031161939405 "WALKING_DOWNSTAIRS"
"125" -0.260087238327094+0i 0.477550504565968 "WALKING_DOWNSTAIRS"
"126" -0.235380248553269+0i 0.467475578521005 "WALKING_DOWNSTAIRS"
"127" -0.24522341976738+0i 0.472097603360105 "WALKING_DOWNSTAIRS"
"128" -0.269575417680178+0i 0.459755952525669 "WALKING_DOWNSTAIRS"
"129" -0.27127184536107+0i 0.449603215186844 "WALKING_DOWNSTAIRS"
"130" -0.272578999103209+0i 0.453170852811679 "WALKING_DOWNSTAIRS"
"131" -0.234977923968984+0i 0.466299849198949 "WALKING_DOWNSTAIRS"
"132" -0.234546547217622+0i 0.447944520018407 "WALKING_DOWNSTAIRS"
"133" -0.247759447899537+0i 0.456386091670507 "WALKING_DOWNSTAIRS"
"134" -0.394371364357932+0i 0.475741040501093 "WALKING_UPSTAIRS"
"135" -0.377992091747059+0i 0.474915863941011 "WALKING_UPSTAIRS"
"136" -0.406314750846881+0i 0.47309026411518 "WALKING_UPSTAIRS"
"137" -0.412428317236364+0i 0.466929898790218 "WALKING_UPSTAIRS"
"138" -0.370631038774866+0i 0.463560823897143 "WALKING_UPSTAIRS"
"139" -0.3803866869082+0i 0.464756317628943 "WALKING_UPSTAIRS"
"140" -0.384738259648039+0i 0.464576881768339 "WALKING_UPSTAIRS"
"141" -0.355096635057066+0i 0.459634699047688 "WALKING_UPSTAIRS"
"142" -0.38153445751426+0i 0.4754698470989 "WALKING_UPSTAIRS"
"143" -0.361389609866756+0i 0.463907864375725 "WALKING_UPSTAIRS"
"144" -0.339939590899822+0i 0.463737822688648 "WALKING_UPSTAIRS"
