"XMean" "YActivity" "Subject"
"1" -0.586932495926453+0i "STANDING" 2
"2" -0.629197697018004+0i "STANDING" 2
"3" -0.6475958281041+0i "STANDING" 2
"4" -0.643015575616221+0i "STANDING" 2
"5" -0.648009318608841+0i "STANDING" 2
"6" -0.650451053513012+0i "STANDING" 2
"7" -0.648862800940428+0i "STANDING" 2
"8" -0.655605235103209+0i "STANDING" 2
"9" -0.652024332695205+0i "STANDING" 2
"10" -0.657305261082442+0i "STANDING" 2
"11" -0.65307116455672+0i "STANDING" 2
"12" -0.651335155032086+0i "STANDING" 2
"13" -0.651480413494296+0i "STANDING" 2
"14" -0.648669588258467+0i "STANDING" 2
"15" -0.64634910884385+0i "STANDING" 2
"16" -0.634700738685865+0i "STANDING" 2
"17" -0.611516924924973+0i "STANDING" 2
"18" -0.620011145070232+0i "STANDING" 2
"19" -0.638410305541711+0i "STANDING" 2
"20" -0.619249248691622+0i "STANDING" 2
"21" -0.615579331569305+0i "STANDING" 2
"22" -0.581886054376096+0i "STANDING" 2
"23" -0.568091670144795+0i "STANDING" 2
"24" -0.586156957238146+0i "STANDING" 2
"25" -0.643382584084438+0i "STANDING" 2
"26" -0.644557990313207+0i "STANDING" 2
"27" -0.641121916938681+0i "STANDING" 2
"28" -0.64727964577754+0i "STANDING" 2
"29" -0.641134163980125+0i "STANDING" 2
"30" -0.633364425841355+0i "STANDING" 2
"31" -0.629012412452496+0i "STANDING" 2
"32" -0.622489146944866+0i "SITTING" 2
"33" -0.641858857304456+0i "SITTING" 2
"34" -0.658640762933868+0i "SITTING" 2
"35" -0.64663438708162+0i "SITTING" 2
"36" -0.641389036107451+0i "SITTING" 2
"37" -0.651724136123708+0i "SITTING" 2
"38" -0.654849524784688+0i "SITTING" 2
"39" -0.658798784888235+0i "SITTING" 2
"40" -0.653363436894599+0i "SITTING" 2
"41" -0.657636828527825+0i "SITTING" 2
"42" -0.65896353377647+0i "SITTING" 2
"43" -0.651820367362567+0i "SITTING" 2
"44" -0.646368067761283+0i "SITTING" 2
"45" -0.597704274059893+0i "SITTING" 2
"46" -0.621790257446346+0i "SITTING" 2
"47" -0.642172657245098+0i "SITTING" 2
"48" -0.640737606262816+0i "SITTING" 2
"49" -0.643771978710695+0i "SITTING" 2
"50" -0.646342278066667+0i "SITTING" 2
"51" -0.647894636344742+0i "SITTING" 2
"52" -0.644916646416756+0i "SITTING" 2
"53" -0.654462160121747+0i "SITTING" 2
"54" -0.653917488950071+0i "SITTING" 2
"55" -0.655529306472906+0i "SITTING" 2
"56" -0.613808150831729+0i "LAYING" 2
"57" -0.645100826232086+0i "LAYING" 2
"58" -0.638348250806239+0i "LAYING" 2
"59" -0.649692916435027+0i "LAYING" 2
"60" -0.652107823964884+0i "LAYING" 2
"61" -0.642963360033333+0i "LAYING" 2
"62" -0.650231338363815+0i "LAYING" 2
"63" -0.649611166359893+0i "LAYING" 2
"64" -0.637158009775401+0i "LAYING" 2
"65" -0.642293676638324+0i "LAYING" 2
"66" -0.637975810214617+0i "LAYING" 2
"67" -0.596226802019857+0i "LAYING" 2
"68" -0.614178756006774+0i "LAYING" 2
"69" -0.637408458349198+0i "LAYING" 2
"70" -0.635805538511765+0i "LAYING" 2
"71" -0.648970729862745+0i "LAYING" 2
"72" -0.650467939568877+0i "LAYING" 2
"73" -0.654755289992567+0i "LAYING" 2
"74" -0.642498043749733+0i "LAYING" 2
"75" -0.634868426386631+0i "LAYING" 2
"76" -0.652588191281034+0i "LAYING" 2
"77" -0.654262141769697+0i "LAYING" 2
"78" -0.641470623881283+0i "LAYING" 2
"79" -0.647650461006417+0i "LAYING" 2
"80" -0.421519530120392+0i "WALKING" 2
"81" -0.396796833196435+0i "WALKING" 2
"82" -0.394577513342068+0i "WALKING" 2
"83" -0.403695620754242+0i "WALKING" 2
"84" -0.431695709318717+0i "WALKING" 2
"85" -0.426233989561373+0i "WALKING" 2
"86" -0.412962779907237+0i "WALKING" 2
"87" -0.417761880153654+0i "WALKING" 2
"88" -0.408673876952549+0i "WALKING" 2
"89" -0.409657659676114+0i "WALKING" 2
"90" -0.409055405363512+0i "WALKING" 2
"91" -0.380767194617344+0i "WALKING" 2
"92" -0.377140510593226+0i "WALKING" 2
"93" -0.408455143196613+0i "WALKING" 2
"94" -0.423988485810766+0i "WALKING" 2
"95" -0.433264223588948+0i "WALKING" 2
"96" -0.405359700192335+0i "WALKING" 2
"97" -0.39318160581385+0i "WALKING" 2
"98" -0.421248535558824+0i "WALKING" 2
"99" -0.421018363267326+0i "WALKING" 2
"100" -0.409370695273262+0i "WALKING" 2
"101" -0.408708163231016+0i "WALKING" 2
"102" -0.405726452411408+0i "WALKING" 2
"103" -0.413656147695544+0i "WALKING" 2
"104" -0.397752510916221+0i "WALKING" 2
"105" -0.410358778593583+0i "WALKING" 2
"106" -0.414124949136399+0i "WALKING" 2
"107" -0.392573512978788+0i "WALKING" 2
"108" -0.387411063519857+0i "WALKING" 2
"109" -0.410193764785383+0i "WALKING" 2
"110" -0.36954498266934+0i "WALKING_DOWNSTAIRS" 2
"111" -0.3701232813959+0i "WALKING_DOWNSTAIRS" 2
"112" -0.337744000577415+0i "WALKING_DOWNSTAIRS" 2
"113" -0.353753808013369+0i "WALKING_DOWNSTAIRS" 2
"114" -0.371515778456061+0i "WALKING_DOWNSTAIRS" 2
"115" -0.313992472729073+0i "WALKING_DOWNSTAIRS" 2
"116" -0.300164405056506+0i "WALKING_DOWNSTAIRS" 2
"117" -0.312079555819073+0i "WALKING_DOWNSTAIRS" 2
"118" -0.317616203656881+0i "WALKING_DOWNSTAIRS" 2
"119" -0.355340426448841+0i "WALKING_DOWNSTAIRS" 2
"120" -0.324216501636364+0i "WALKING_DOWNSTAIRS" 2
"121" -0.247877147209091+0i "WALKING_DOWNSTAIRS" 2
"122" -0.259231771685561+0i "WALKING_DOWNSTAIRS" 2
"123" -0.288588663654902+0i "WALKING_DOWNSTAIRS" 2
"124" -0.285303712063458+0i "WALKING_DOWNSTAIRS" 2
"125" -0.260087238327094+0i "WALKING_DOWNSTAIRS" 2
"126" -0.235380248553269+0i "WALKING_DOWNSTAIRS" 2
"127" -0.24522341976738+0i "WALKING_DOWNSTAIRS" 2
"128" -0.269575417680178+0i "WALKING_DOWNSTAIRS" 2
"129" -0.27127184536107+0i "WALKING_DOWNSTAIRS" 2
"130" -0.272578999103209+0i "WALKING_DOWNSTAIRS" 2
"131" -0.234977923968984+0i "WALKING_DOWNSTAIRS" 2
"132" -0.234546547217622+0i "WALKING_DOWNSTAIRS" 2
"133" -0.247759447899537+0i "WALKING_DOWNSTAIRS" 2
"134" -0.394371364357932+0i "WALKING_UPSTAIRS" 2
"135" -0.377992091747059+0i "WALKING_UPSTAIRS" 2
"136" -0.406314750846881+0i "WALKING_UPSTAIRS" 2
"137" -0.412428317236364+0i "WALKING_UPSTAIRS" 2
"138" -0.370631038774866+0i "WALKING_UPSTAIRS" 2
"139" -0.3803866869082+0i "WALKING_UPSTAIRS" 2
"140" -0.384738259648039+0i "WALKING_UPSTAIRS" 2
"141" -0.355096635057066+0i "WALKING_UPSTAIRS" 2
"142" -0.38153445751426+0i "WALKING_UPSTAIRS" 2
"143" -0.361389609866756+0i "WALKING_UPSTAIRS" 2
"144" -0.339939590899822+0i "WALKING_UPSTAIRS" 2
"145" -0.354842614277005+0i "WALKING_UPSTAIRS" 2
"146" -0.37899212069893+0i "WALKING_UPSTAIRS" 2
"147" -0.337512661708913+0i "WALKING_UPSTAIRS" 2
"148" -0.326138365248093+0i "WALKING_UPSTAIRS" 2
"149" -0.339196910249376+0i "WALKING_UPSTAIRS" 2
"150" -0.327333242165419+0i "WALKING_UPSTAIRS" 2
"151" -0.355542936258021+0i "WALKING_UPSTAIRS" 2
"152" -0.364390520081501+0i "WALKING_UPSTAIRS" 2
"153" -0.367466552662692+0i "WALKING_UPSTAIRS" 2
"154" -0.35774669833943+0i "WALKING_UPSTAIRS" 2
"155" -0.365604606933155+0i "WALKING_UPSTAIRS" 2
"156" -0.354822731200463+0i "WALKING_UPSTAIRS" 2
"157" -0.307714604532977+0i "WALKING_UPSTAIRS" 2
